ID,age,Exp.XR,Exp.Mod,Difficulty MRTK,Fatigue MRTK,Frequent use MRTK,Complex MRTK,Simple MRTK,Support MRTK,Integrated MRTK,Majority MRTK,Cumbersome MRTK,Confidence MRTK,Learn MRTK,Inconsistency MRTK,Difficulty HB,Fatigue HB,Frequent use HB,Complex HB,Simple HB,Support HB,Integrated HB,Majority HB,Cumbersome HB,Confidence HB,Learn HB,Inconsistency HB,Difficulty DTP,Fatigue DTP,Frequent use DTP,Complex DTP,Simple DTP,Support DTP,Integrated DTP,Majority DTP,Cumbersome DTP,Confidence DTP,Learn DTP,Inconsistency DTP
1,25,2,4,3,3,3,2,3,2,3,2,3,3,2,4,3,4,2,3,2,1,3,1,4,3,1,3,2,3,2,2,3,1,4,2,2,4,1,1
2,25,1,3,4,4,3,3,2,1,5,4,3,3,1,2,1,1,5,1,5,1,4,5,1,5,1,1,3,2,2,5,2,3,1,2,4,2,3,3
4,25,4,3,3,4,3,2,4,1,4,3,3,4,2,3,2,2,5,2,5,2,5,5,1,4,1,4,2,3,4,1,5,1,5,4,2,5,1,1
5,27,3,1,4,2,3,1,3,2,4,5,3,3,1,2,3,3,2,3,3,4,3,3,3,3,2,2,2,1,4,2,3,2,3,2,2,4,2,2
6,24,1,2,2,4,3,2,2,2,3,2,2,3,1,1,3,1,4,2,3,3,4,4,2,3,1,2,5,4,1,5,1,5,1,1,5,1,4,5
7,27,4,5,2,2,3,1,4,1,2,3,1,4,1,2,3,3,4,2,3,3,5,3,2,4,1,3,1,4,2,2,4,2,2,4,2,4,1,1
8,24,3,2,4,3,1,4,1,1,2,2,4,1,2,3,3,2,3,2,3,1,3,4,2,3,1,4,3,2,3,1,4,1,3,4,2,3,1,2
9,26,3,2,3,2,4,2,4,3,5,3,2,4,1,3,3,2,3,3,2,4,4,5,2,4,2,2,4,4,2,3,3,4,3,2,3,2,3,4
10,22,4,4,3,3,3,1,5,2,2,5,1,3,1,1,4,4,1,4,2,4,1,2,4,1,3,1,3,3,3,2,3,3,4,2,2,4,1,1
11,24,1,1,2,2,4,1,2,1,5,3,2,5,1,1,3,3,2,2,5,1,4,4,2,5,1,2,4,4,2,4,1,1,2,3,5,4,1,4
12,31,1,3,2,2,5,1,5,1,4,5,2,5,1,1,1,4,4,1,4,1,5,5,2,5,1,2,3,1,3,3,3,3,5,3,3,4,2,3
13,24,2,3,2,4,4,2,3,2,3,2,2,3,1,2,2,2,4,2,3,2,4,2,2,4,3,3,2,1,4,2,3,2,4,4,2,5,2,1
15,22,1,3,2,3,4,1,4,1,3,4,1,4,1,3,2,4,2,2,4,3,5,4,4,3,2,4,2,1,5,2,4,4,3,2,1,5,4,1
16,26,2,5,4,3,1,3,2,1,3,4,2,1,1,4,1,2,5,1,5,5,4,5,1,5,1,1,1,5,1,5,1,3,2,1,5,2,2,2
18,24,2,1,2,2,5,1,4,2,4,3,1,4,1,1,2,2,3,3,2,2,3,2,4,3,3,3,1,2,2,4,3,3,4,2,4,3,1,2
19,36,2,2,4,2,2,2,2,1,1,1,4,2,1,4,2,4,2,1,4,1,4,3,2,4,1,1,1,2,4,1,4,1,4,3,2,4,1,2
21,22,1,3,3,3,3,2,4,2,4,3,3,4,2,4,4,2,3,2,3,2,4,3,2,4,1,3,1,2,4,2,3,1,2,3,4,3,1,4
23,25,3,2,1,1,5,1,5,1,5,5,1,5,1,1,1,1,5,1,5,1,5,5,1,5,1,1,1,1,5,1,5,1,5,5,1,5,1,1
26,23,1,2,1,2,5,1,5,1,5,5,1,5,2,1,1,2,5,1,5,1,5,5,1,5,1,2,4,4,1,4,1,2,2,1,5,2,2,4
27,23,2,2,2,2,4,2,4,1,4,4,1,4,2,2,3,3,2,3,3,2,3,4,2,4,2,2,2,2,1,3,2,3,1,2,1,3,2,3
29,23,1,1,4,4,2,2,2,4,3,3,3,2,3,4,1,1,2,1,4,2,5,5,1,3,1,1,3,2,2,2,2,2,2,3,4,3,2,3
32,24,1,2,4,2,2,3,1,4,3,3,4,1,5,5,1,4,5,1,4,1,5,5,2,5,2,2,4,2,3,3,2,4,3,3,4,2,5,3
34,23,2,3,3,3,4,1,3,2,4,4,2,3,1,2,1,1,5,1,5,1,4,4,2,5,1,1,4,4,2,4,2,3,4,3,3,2,3,3
36,24,2,5,2,3,2,3,3,1,3,4,3,4,1,3,2,2,4,1,4,3,4,4,1,4,1,2,1,1,4,1,5,1,5,4,2,5,1,2
